	sample	lambda
81	('EP117219', 11, 'EP117219_K110_BS1D.otu_table.biom')	1.0
82	('EP117219', 6, 'EP117219_K60_BS1D.otu_table.biom')	1.0
83	('EP117702', 5, 'EP117702_K50_BS1D.otu_table.biom')	0.0
84	('EP117702', 6, 'EP117702_K60_BS1D.otu_table.biom')	0.0
85	('EP117915', 3, 'EP117915_K30_BS1D.otu_table.biom')	0.0
86	('EP117915', 6, 'EP117915_K60_BS1D.otu_table.biom')	0.0
87	('EP120862', 12, 'EP120862_K120_BS1D.otu_table.biom')	0.0
88	('EP120862', 16, 'EP120862_K160_BS1D.otu_table.biom')	0.0
89	('EP120862', 20, 'EP120862_K200_BS1D.otu_table.biom')	1.0
90	('EP120862', 23, 'EP120862_K230_BS1D.otu_table.biom')	1.0
91	('EP120862', 4, 'EP120862_K40_BS1D.otu_table.biom')	0.0
92	('EP120862', 5, 'EP120862_K50_BS1D.otu_table.biom')	0.0
93	('EP123900', 6, 'EP123900_K60_BS1D.otu_table.biom')	1.0
94	('EP123900', 8, 'EP123900_K80_BS1D.otu_table.biom')	1.0
95	('EP126323', 13, 'EP126323_K130_BS1D.otu_table.biom')	0.65
96	('EP126323', 7, 'EP126323_K70_BS1D.otu_table.biom')	0.0
97	('EP129024', 10, 'EP129024_K100_BS1D.otu_table.biom')	0.0
98	('EP129024', 7, 'EP129024_K70_BS1D.otu_table.biom')	0.0
99	('EP129845', 10, 'EP129845_K100_BS1D.otu_table.biom')	1.0
100	('EP129845', 7, 'EP129845_K70_BS1D.otu_table.biom')	1.0
101	('EP131173', 5, 'EP131173_K50_BS1D.otu_table.biom')	1.0
102	('EP131173', 8, 'EP131173_K80_BS1D.otu_table.biom')	0.0
103	('EP131838', 10, 'EP131838_K100_BS1D.otu_table.biom')	0.46
104	('EP131838', 7, 'EP131838_K70_BS1D.otu_table.biom')	1.0
105	('EP134204', 6, 'EP134204_K60_BS1D.otu_table.biom')	1.0
106	('EP134204', 7, 'EP134204_K70_BS1D.otu_table.biom')	0.0
107	('EP136122', 10, 'EP136122_K100_BS1D.otu_table.biom')	0.0
108	('EP136122', 8, 'EP136122_K80_BS1D.otu_table.biom')	1.0
109	('EP137942', 3, 'EP137942_K30_BS1D.otu_table.biom')	1.0
110	('EP137942', 4, 'EP137942_K40_BS1D.otu_table.biom')	1.0
111	('EP145184', 5, 'EP145184_K50_BS1D.otu_table.biom')	0.0
112	('EP145184', 8, 'EP145184_K80_BS1D.otu_table.biom')	1.0
113	('EP153366', 13, 'EP153366_K130_BS1D.otu_table.biom')	1.0
114	('EP154266', 10, 'EP154266_K100_BS1D.otu_table.biom')	1.0
115	('EP154266', 11, 'EP154266_K110_BS1D.otu_table.biom')	1.0
116	('EP156198', 2, 'EP156198_K20_BS1D.otu_table.biom')	1.0
117	('EP156198', 9, 'EP156198_K90_BS1D.otu_table.biom')	1.0
118	('EP164977', 8, 'EP164977_K80_BS1D.otu_table.biom')	0.0
119	('EP171330', 9, 'EP171330_K90_BS1D.otu_table.biom')	0.0
120	('EP172676', 7, 'EP172676_K70_BSTD.otu_table.biom')	1.0
121	('EP174763', 4, 'EP174763_K40_BS1D.otu_table.biom')	1.0
122	('EP174763', 7, 'EP174763_K70_BS1D.otu_table.biom')	1.0
123	('EP175456', 10, 'EP175456_K100_BS1D.otu_table.biom')	1.0
124	('EP175456', 7, 'EP175456_K70_BS1D.otu_table.biom')	0.0
125	('EP175511', 1, 'EP175511_K10_BS1D.otu_table.biom')	1.0
126	('EP182444', 2, 'EP182444_K20_BS1D.otu_table.biom')	1.0
127	('EP182444', 5, 'EP182444_K50_BS1D.otu_table.biom')	0.0
128	('EP186689', 6, 'EP186689_K60_BS1D.otu_table.biom')	0.0
129	('EP190835', 4, 'EP190835_K40_BSTD.otu_table.biom')	0.0
130	('EP191772', 10, 'EP191772_K100_BS1D.otu_table.biom')	1.0
131	('EP191772', 13, 'EP191772_K130_BS1D.otu_table.biom')	1.0
132	('EP205465', 6, 'EP205465_K60_BS1D.otu_table.biom')	1.0
133	('EP205465', 9, 'EP205465_K90_BS1D.otu_table.biom')	1.0
134	('EP207828', 8, 'EP207828_K80_BS1D.otu_table.biom')	1.0
135	('EP209572', 7, 'EP209572_K70_BS1D.otu_table.biom')	1.0
136	('EP209572', 8, 'EP209572_K80_BS1D.otu_table.biom')	1.0
137	('EP211731', 5, 'EP211731_K50_BS1D.otu_table.biom')	1.0
138	('EP211731', 8, 'EP211731_K80_BS1D.otu_table.biom')	1.0
139	('EP213757', 10, 'EP213757_K100_BS1D.otu_table.biom')	0.0
140	('EP216429', 11, 'EP216429_K110_BS1D.otu_table.biom')	1.0
141	('EP216429', 12, 'EP216429_K120_BS1D.otu_table.biom')	0.0
142	('EP216429', 7, 'EP216429_K70_BS1D.otu_table.biom')	0.0
143	('EP216429', 8, 'EP216429_K80_BS1D.otu_table.biom')	0.0
144	('EP217091', 3, 'EP217091_K30_BS1D.otu_table.biom')	0.0
145	('EP218239', 6, 'EP218239_K60_BS1D.otu_table.biom')	0.0
146	('EP218239', 9, 'EP218239_K90_BS1D.otu_table.biom')	0.0
147	('EP218253', 10, 'EP218253_K100_BS1D.otu_table.biom')	0.0
148	('EP218253', 7, 'EP218253_K70_BS1D.otu_table.biom')	0.0
149	('EP219711', 6, 'EP219711_K60_BS1D.otu_table.biom')	1.0
150	('EP219711', 7, 'EP219711_K70_BS1D.otu_table.biom')	1.0
151	('EP219915', 6, 'EP219915_K60_BS1D.otu_table.biom')	0.0
152	('EP227762', 3, 'EP227762_K30_BS1D.otu_table.biom')	1.0
153	('EP227762', 4, 'EP227762_K40_BS1D.otu_table.biom')	1.0
154	('EP229454', 11, 'EP229454_K110_BS1D.otu_table.biom')	0.0
155	('EP229454', 8, 'EP229454_K80_BS1D.otu_table.biom')	0.0
156	('EP230041', 13, 'EP230041_K130_BS1D.otu_table.biom')	1.0
157	('EP230041', 16, 'EP230041_K160_BS1D.otu_table.biom')	0.0
158	('EP230807', 10, 'EP230807_K100_BS1D.otu_table.biom')	0.0
159	('EP230807', 5, 'EP230807_K50_BS1D.otu_table.biom')	1.0
160	('EP233566', 10, 'EP233566_K100_BS1D.otu_table.biom')	1.0
161	('EP233566', 7, 'EP233566_K70_BS1D.otu_table.biom')	1.0
162	('EP235198', 9, 'EP235198_K90_BS1D.otu_table.biom')	1.0
163	('EP237361', 8, 'EP237361_K80_BS1D.otu_table.biom')	1.0
164	('EP238282', 5, 'EP238282_K50_BS1D.otu_table.biom')	1.0
165	('EP238282', 7, 'EP238282_K70_BS1D.otu_table.biom')	1.0
166	('EP238905', 10, 'EP238905_K100_BS1D.otu_table.biom')	0.0
167	('EP238905', 6, 'EP238905_K60_BS1D.otu_table.biom')	0.0
168	('EP239957', 3, 'EP239957_K30_BSTD.otu_table.biom')	0.0
169	('EP243415', 4, 'EP243415_K40_BS1D.otu_table.biom')	0.0
170	('EP243618', 10, 'EP243618_K100_BS1D.otu_table.biom')	1.0
171	('EP243984', 10, 'EP243984_K100_BS1D.otu_table.biom')	0.0
172	('EP243984', 9, 'EP243984_K90_BS1D.otu_table.biom')	0.0
173	('EP244800', 4, 'EP244800_K40_BS1D.otu_table.biom')	0.0
174	('EP246574', 10, 'EP246574_K100_BS1D.otu_table.biom')	0.0
175	('EP246574', 11, 'EP246574_K110_BS1D.otu_table.biom')	0.0
