	sample	lambda
0	('EP523733', 2, 'EP523733_K20_MCVD.otu_table.biom')	0.0
1	('EP557758', 2, 'EP557758_K20_MCVD.otu_table.biom')	0.0
2	('EP841683', 5, 'EP841683_K50_MCVD.otu_table.biom')	1.0
3	('EP949081', 5, 'EP949081_K50_MCVD.otu_table.biom')	0.0
