	sample	lambda
81	('EP034068', 3, 'EP034068_K30_MCKD.otu_table.biom')	0.0
82	('EP034068', 4, 'EP034068_K40_MCKD.otu_table.biom')	0.0
83	('EP034068', 5, 'EP034068_K50_MCKD.otu_table.biom')	0.0
84	('EP034068', 8, 'EP034068_K80_BCKD.otu_table.biom')	0.0
85	('EP034068', 9, 'EP034068_K90_MCKD.otu_table.biom')	0.0
86	('EP035045', 3, 'EP035045_K30_MCKD.otu_table.biom')	0.0
87	('EP035045', 5, 'EP035045_K50_BC1D.otu_table.biom')	0.0
88	('EP035045', 6, 'EP035045_K60_MCKD.otu_table.biom')	0.0
89	('EP036702', 2, 'EP036702_K20_MCKD.otu_table.biom')	1.0
90	('EP036702', 3, 'EP036702_K30_MCKD.otu_table.biom')	0.0
91	('EP036702', 6, 'EP036702_K60_BCKD.otu_table.biom')	0.0
92	('EP036702', 8, 'EP036702_K80_BCKD.otu_table.biom')	0.0
93	('EP038468', 1, 'EP038468_K10_MCKD.otu_table.biom')	0.0
94	('EP038468', 11, 'EP038468_K110_BCKD.otu_table.biom')	0.0
95	('EP038468', 2, 'EP038468_K20_MCKD.otu_table.biom')	0.0
96	('EP038468', 3, 'EP038468_K30_MCKD.otu_table.biom')	0.0
97	('EP038468', 4, 'EP038468_K40_MCKD.otu_table.biom')	0.0
98	('EP038468', 5, 'EP038468_K50_MCKD.otu_table.biom')	0.0
99	('EP038468', 9, 'EP038468_K90_BCKD.otu_table.biom')	0.0
100	('EP044068', 11, 'EP044068_K110_BCKD.otu_table.biom')	0.0
101	('EP044068', 12, 'EP044068_K120_MCKD.otu_table.biom')	0.0
102	('EP044068', 2, 'EP044068_K20_MCKD.otu_table.biom')	0.0
103	('EP044068', 3, 'EP044068_K30_MCKD.otu_table.biom')	0.0
104	('EP044068', 4, 'EP044068_K40_MCKD.otu_table.biom')	0.0
105	('EP044068', 5, 'EP044068_K50_MCKD.otu_table.biom')	0.0
106	('EP044068', 8, 'EP044068_K80_BCKD.otu_table.biom')	0.0
107	('EP044415', 2, 'EP044415_K20_MCKD.otu_table.biom')	0.0
108	('EP044415', 4, 'EP044415_K40_BCKD.otu_table.biom')	0.0
109	('EP044415', 5, 'EP044415_K50_MCKD.otu_table.biom')	0.0
110	('EP044415', 6, 'EP044415_K60_MCKD.otu_table.biom')	0.0
111	('EP045004', 11, 'EP045004_K110_BCKD.otu_table.biom')	0.0
112	('EP045004', 12, 'EP045004_K120_MCKD.otu_table.biom')	0.0
113	('EP045004', 13, 'EP045004_K130_BCKD.otu_table.biom')	0.0
114	('EP045004', 2, 'EP045004_K20_MCKD.otu_table.biom')	0.0
115	('EP045004', 5, 'EP045004_K50_MCKD.otu_table.biom')	0.0
116	('EP045004', 7, 'EP045004_K70_MCKD.otu_table.biom')	0.0
117	('EP049012', 1, 'EP049012_K10_MCKD.otu_table.biom')	0.49
118	('EP049012', 11, 'EP049012_K110_MCKD.otu_table.biom')	0.0
119	('EP049012', 2, 'EP049012_K20_MCKD.otu_table.biom')	0.0
120	('EP049012', 3, 'EP049012_K30_MCKD.otu_table.biom')	0.0
121	('EP049012', 4, 'EP049012_K40_MCKD.otu_table.biom')	0.0
122	('EP049012', 5, 'EP049012_K50_MCKD.otu_table.biom')	0.0
123	('EP049012', 7, 'EP049012_K70_BCKD.otu_table.biom')	0.0
124	('EP052210', 1, 'EP052210_K10_MCKD.otu_table.biom')	0.0
