	sample	lambda
81	('EP044415', 2, 'EP044415_K20_MRCD.otu_table.biom')	1.0
82	('EP044415', 4, 'EP044415_K40_BRCD.otu_table.biom')	0.89
83	('EP044415', 6, 'EP044415_K60_MRCD.otu_table.biom')	0.5
84	('EP045004', 11, 'EP045004_K110_BRCD.otu_table.biom')	1.0
85	('EP045004', 13, 'EP045004_K130_BRCD.otu_table.biom')	0.0
86	('EP045004', 2, 'EP045004_K20_MRCD.otu_table.biom')	0.0
87	('EP045004', 3, 'EP045004_K30_MRCD.otu_table.biom')	1.0
88	('EP045004', 5, 'EP045004_K50_MRCD.otu_table.biom')	0.0
89	('EP045004', 7, 'EP045004_K70_MRCD.otu_table.biom')	0.0
90	('EP049012', 1, 'EP049012_K10_MRCD.otu_table.biom')	0.0
91	('EP049012', 2, 'EP049012_K20_MRCD.otu_table.biom')	0.0
92	('EP049012', 3, 'EP049012_K30_MRCD.otu_table.biom')	1.0
93	('EP049012', 4, 'EP049012_K40_MRCD.otu_table.biom')	0.0
94	('EP049012', 5, 'EP049012_K50_MRCD.otu_table.biom')	0.0
95	('EP049012', 7, 'EP049012_K70_BRCD.otu_table.biom')	0.0
96	('EP052210', 6, 'EP052210_K60_BRCD.otu_table.biom')	0.0
97	('EP059416', 2, 'EP059416_K20_MRCD.otu_table.biom')	1.0
98	('EP059416', 3, 'EP059416_K30_MRCD.otu_table.biom')	1.0
99	('EP059416', 4, 'EP059416_K40_MRCD.otu_table.biom')	0.0
100	('EP059416', 6, 'EP059416_K60_BRCD.otu_table.biom')	0.0
101	('EP059416', 7, 'EP059416_K70_BRCD.otu_table.biom')	0.0
102	('EP059416', 9, 'EP059416_K90_MRCD.otu_table.biom')	0.0
103	('EP062329', 2, 'EP062329_K20_MRCD.otu_table.biom')	0.0
104	('EP062329', 3, 'EP062329_K30_MRCD.otu_table.biom')	0.52
105	('EP062329', 4, 'EP062329_K40_MRCD.otu_table.biom')	0.0
106	('EP062329', 5, 'EP062329_K50_MRCD.otu_table.biom')	0.0
107	('EP062329', 6, 'EP062329_K60_BRCD.otu_table.biom')	0.0
108	('EP062329', 8, 'EP062329_K80_BRCD.otu_table.biom')	0.0
109	('EP063938', 3, 'EP063938_K30_MRCD.otu_table.biom')	1.0
110	('EP063938', 7, 'EP063938_K70_BRCD.otu_table.biom')	0.5
111	('EP063938', 9, 'EP063938_K90_BRCD.otu_table.biom')	1.0
112	('EP065458', 1, 'EP065458_K10_MRCD.otu_table.biom')	0.0
113	('EP065458', 2, 'EP065458_K20_MRCD.otu_table.biom')	0.0
114	('EP065458', 4, 'EP065458_K40_MRCD.otu_table.biom')	1.0
115	('EP065458', 8, 'EP065458_K80_BRCD.otu_table.biom')	0.0
116	('EP066677', 5, 'EP066677_K50_BRCD.otu_table.biom')	0.0
117	('EP067259', 2, 'EP067259_K20_MRCD.otu_table.biom')	1.0
118	('EP067259', 4, 'EP067259_K40_MRCD.otu_table.biom')	0.5
119	('EP067259', 6, 'EP067259_K60_BRCD.otu_table.biom')	0.93
120	('EP067259', 9, 'EP067259_K90_BRCD.otu_table.biom')	0.0
121	('EP070043', 2, 'EP070043_K20_MRCD.otu_table.biom')	0.0
122	('EP070043', 3, 'EP070043_K30_MRCD.otu_table.biom')	0.0
123	('EP070043', 4, 'EP070043_K40_MRCD.otu_table.biom')	0.0
124	('EP070043', 6, 'EP070043_K60_BRCD.otu_table.biom')	0.26
125	('EP070043', 7, 'EP070043_K70_BRCD.otu_table.biom')	0.82
126	('EP072314', 1, 'EP072314_K10_MRCD.otu_table.biom')	1.0
