	sample	lambda
81	('EP063938', 3, 'EP063938_K30_MV1D.otu_table.biom')	0.0
82	('EP063938', 4, 'EP063938_K40_MV1D.otu_table.biom')	0.0
83	('EP065458', 2, 'EP065458_K20_MV1D.otu_table.biom')	0.0
84	('EP065458', 4, 'EP065458_K40_MV1D.otu_table.biom')	0.0
85	('EP067259', 2, 'EP067259_K20_MV1D.otu_table.biom')	0.0
86	('EP067259', 3, 'EP067259_K30_MV1D.otu_table.biom')	0.0
87	('EP067259', 4, 'EP067259_K40_MV1D.otu_table.biom')	0.0
88	('EP070043', 2, 'EP070043_K20_MV1D.otu_table.biom')	0.0
89	('EP070043', 3, 'EP070043_K30_MV1D.otu_table.biom')	0.0
90	('EP070043', 4, 'EP070043_K40_MV1D.otu_table.biom')	0.0
91	('EP072314', 3, 'EP072314_K30_MV1D.otu_table.biom')	0.0
92	('EP072314', 5, 'EP072314_K50_MV1D.otu_table.biom')	0.0
93	('EP072463', 2, 'EP072463_K20_MV1D.otu_table.biom')	1.0
94	('EP072463', 3, 'EP072463_K30_MV1D.otu_table.biom')	1.0
95	('EP072463', 4, 'EP072463_K40_MV1D.otu_table.biom')	1.0
96	('EP074002', 2, 'EP074002_K20_MV1D.otu_table.biom')	0.0
97	('EP075340', 4, 'EP075340_K40_MV1D.otu_table.biom')	0.0
98	('EP075340', 7, 'EP075340_K70_MV1D.otu_table.biom')	0.0
99	('EP075428', 7, 'EP075428_K70_MV1D.otu_table.biom')	0.0
100	('EP077500', 6, 'EP077500_K60_MV1D.otu_table.biom')	0.0
101	('EP077500', 7, 'EP077500_K70_MV1D.otu_table.biom')	0.0
102	('EP080581', 7, 'EP080581_K70_MV1D.otu_table.biom')	1.0
103	('EP081373', 1, 'EP081373_K10_MV1D.otu_table.biom')	0.0
104	('EP081373', 2, 'EP081373_K20_MV1D.otu_table.biom')	0.0
105	('EP081373', 3, 'EP081373_K30_MV1D.otu_table.biom')	0.0
106	('EP081373', 4, 'EP081373_K40_MV1D.otu_table.biom')	0.0
107	('EP081373', 5, 'EP081373_K50_MV1D.otu_table.biom')	0.0
108	('EP082756', 2, 'EP082756_K20_MV1D.otu_table.biom')	0.0
109	('EP082756', 3, 'EP082756_K30_MV1D.otu_table.biom')	0.0
110	('EP082756', 4, 'EP082756_K40_MV1D.otu_table.biom')	0.0
111	('EP082756', 5, 'EP082756_K50_MV1D.otu_table.biom')	0.0
112	('EP082756', 6, 'EP082756_K60_MV1D.otu_table.biom')	0.0
113	('EP085140', 2, 'EP085140_K20_MV1D.otu_table.biom')	0.0
114	('EP087695', 2, 'EP087695_K20_MV1D.otu_table.biom')	1.0
115	('EP087695', 3, 'EP087695_K30_MV1D.otu_table.biom')	1.0
116	('EP087695', 4, 'EP087695_K40_MV1D.otu_table.biom')	0.0
117	('EP087695', 8, 'EP087695_K80_MV1D.otu_table.biom')	0.0
118	('EP090829', 2, 'EP090829_K20_MV1D.otu_table.biom')	0.0
119	('EP090829', 4, 'EP090829_K40_MV1D.otu_table.biom')	0.0
