	sample	lambda
0	('feces', 3001, 4, 'CSM5FZ3N')	0.5
1	('feces', 3002, 5, 'CSM5FZ3X')	0.5
2	('feces', 3002, 6, 'CSM5FZ3Z')	0.5
3	('feces', 3002, 8, 'CSM5FZ44')	0.5
4	('feces', 3002, 9, 'CSM5FZ46')	0.5
5	('feces', 3003, 4, 'CSM5FZ48')	0.5
6	('feces', 3003, 5, 'CSM5FZ4E')	0.5
7	('feces', 3003, 6, 'CSM5FZ4G')	0.5
8	('feces', 3003, 7, 'CSM5FZ4I')	0.5
9	('feces', 3005, 4, 'CSM5FZ4O')	0.5
10	('feces', 3008, 4, 'CSM5MCU4')	0.5
11	('feces', 3004, 5, 'CSM5MCU6')	0.5
12	('feces', 3006, 6, 'CSM5MCUI')	0.5
13	('feces', 3007, 5, 'CSM5MCV1')	0.5
14	('feces', 3007, 6, 'CSM5MCV3')	0.5
15	('feces', 3007, 7, 'CSM5MCV5')	0.5
16	('feces', 3007, 4, 'CSM5MCVB')	0.5
17	('feces', 3001, 11, 'CSM5MCVD')	0.5
18	('feces', 3001, 12, 'CSM5MCVF')	0.5
19	('feces', 3009, 4, 'CSM5MCVH')	0.5
20	('feces', 3001, 13, 'CSM5MCVV')	0.5
21	('feces', 3008, 6, 'CSM5MCVZ')	0.5
22	('feces', 3009, 5, 'CSM5MCW8')	0.5
23	('feces', 3001, 6, 'CSM5YRY7')	0.5
24	('feces', 5004, 8, 'ESM5GEZ8')	0.5
25	('feces', 5004, 9, 'ESM5GEZA')	0.5
26	('feces', 5001, 12, 'ESM5ME9G')	0.5
27	('feces', 5008, 6, 'ESM5MEA7')	0.5
28	('feces', 5001, 13, 'ESM5MEBA')	0.5
29	('feces', 5008, 4, 'ESM5MEBL')	0.5
30	('feces', 5004, 11, 'ESM5MEBQ')	0.5
31	('feces', 5001, 4, 'ESM5MEDZ')	0.5
32	('feces', 5001, 5, 'ESM5MEE2')	0.5
33	('feces', 5001, 7, 'ESM5MEE6')	0.5
34	('feces', 5001, 8, 'ESM5MEEA')	0.5
35	('feces', 5001, 9, 'ESM5MEEB')	0.5
36	('feces', 5003, 4, 'ESM5MEEC')	0.5
37	('feces', 5004, 4, 'ESM5MEEG')	0.5
38	('feces', 5002, 4, 'ESM5MEET')	0.5
39	('feces', 4001, 9, 'HSM5FZBP')	0.5
40	('feces', 4001, 7, 'HSM5FZBQ')	0.5
41	('feces', 4001, 8, 'HSM5FZBR')	0.5
42	('feces', 4001, 6, 'HSM5FZBT')	0.5
43	('feces', 4001, 5, 'HSM5FZBU')	0.5
44	('feces', 4014, 4, 'HSM5MD3L')	0.5
45	('feces', 4011, 5, 'HSM5MD3W')	0.5
46	('feces', 4010, 5, 'HSM5MD47')	0.5
47	('feces', 4006, 7, 'HSM5MD4A')	0.5
48	('feces', 4006, 6, 'HSM5MD4B')	0.5
49	('feces', 4006, 5, 'HSM5MD4C')	0.5
50	('feces', 4007, 7, 'HSM5MD4P')	0.5
51	('feces', 4007, 5, 'HSM5MD4R')	0.5
52	('feces', 4001, 12, 'HSM5MD5H')	0.5
53	('feces', 4001, 11, 'HSM5MD7W')	0.5
54	('feces', 4007, 4, 'HSM5MD7Z')	0.5
55	('feces', 4006, 4, 'HSM5MD86')	0.5
56	('feces', 4010, 4, 'HSM5MD87')	0.5
57	('feces', 4011, 4, 'HSM5MD8J')	0.5
58	('feces', 2014, 4, 'MSM5FZ8Y')	0.5
59	('feces', 2010, 7, 'MSM5FZ9N')	0.5
