	sample	lambda
0	('feces', 3001, 4, 'CSM5FZ3N')	0.6566406250000004
1	('feces', 3002, 5, 'CSM5FZ3X')	1.0
2	('feces', 3002, 6, 'CSM5FZ3Z')	0.7437500000000007
3	('feces', 3002, 8, 'CSM5FZ44')	0.8669921875000008
4	('feces', 3002, 9, 'CSM5FZ46')	0.8667968750000009
5	('feces', 3003, 4, 'CSM5FZ48')	0.5411132812500001
6	('feces', 3003, 5, 'CSM5FZ4E')	1.0
7	('feces', 3003, 6, 'CSM5FZ4G')	0.8455078125000008
8	('feces', 3003, 7, 'CSM5FZ4I')	1.0
9	('feces', 3005, 4, 'CSM5FZ4O')	0.822167968750001
10	('feces', 3008, 4, 'CSM5MCU4')	0.7865234375000008
11	('feces', 3004, 5, 'CSM5MCU6')	0.5411132812500001
12	('feces', 3006, 6, 'CSM5MCUI')	1.0
13	('feces', 3007, 5, 'CSM5MCV1')	0.7287109375000005
14	('feces', 3007, 6, 'CSM5MCV3')	0.895898437500001
15	('feces', 3007, 7, 'CSM5MCV5')	1.0
16	('feces', 3007, 4, 'CSM5MCVB')	1.0
17	('feces', 3001, 11, 'CSM5MCVD')	0.5975585937500002
18	('feces', 3001, 12, 'CSM5MCVF')	0.5361328125
19	('feces', 3009, 4, 'CSM5MCVH')	1.0
20	('feces', 3001, 13, 'CSM5MCVV')	0.7909179687500008
21	('feces', 3008, 6, 'CSM5MCVZ')	0.6149414062500004
22	('feces', 3009, 5, 'CSM5MCW8')	1.0
23	('feces', 3001, 6, 'CSM5YRY7')	0.5672851562500001
24	('feces', 5004, 8, 'ESM5GEZ8')	0.8799804687500008
25	('feces', 5004, 9, 'ESM5GEZA')	0.7369140625000008
26	('feces', 5001, 12, 'ESM5ME9G')	0.37832031249999987
27	('feces', 5008, 6, 'ESM5MEA7')	1.0
28	('feces', 5001, 13, 'ESM5MEBA')	0.39472656249999993
29	('feces', 5008, 4, 'ESM5MEBL')	1.0
30	('feces', 5004, 11, 'ESM5MEBQ')	1.0
31	('feces', 5001, 4, 'ESM5MEDZ')	0.6619140625000004
32	('feces', 5001, 5, 'ESM5MEE2')	0.6512695312500004
33	('feces', 5001, 7, 'ESM5MEE6')	0.6847656250000004
34	('feces', 5001, 8, 'ESM5MEEA')	0.821386718750001
