	sample	lambda
0	('EP003595', 10, 'EP003595_K100_BRCD.otu_table.biom')	0.0
1	('EP003595', 9, 'EP003595_K90_BRCD.otu_table.biom')	0.0
2	('EP004835', 1, 'EP004835_K10_MRCD.otu_table.biom')	0.0
3	('EP004835', 2, 'EP004835_K20_MRCD.otu_table.biom')	0.0
4	('EP004835', 3, 'EP004835_K30_MRCD.otu_table.biom')	0.0
5	('EP004835', 4, 'EP004835_K40_MRCD.otu_table.biom')	0.0
6	('EP004835', 5, 'EP004835_K50_MRCD.otu_table.biom')	0.0
7	('EP004835', 8, 'EP004835_K80_BRCD.otu_table.biom')	0.0
8	('EP007214', 10, 'EP007214_K100_BRCD.otu_table.biom')	0.0
9	('EP007214', 1, 'EP007214_K10_MRCD.otu_table.biom')	0.0
10	('EP007214', 2, 'EP007214_K20_MRCD.otu_table.biom')	0.0
11	('EP007214', 3, 'EP007214_K30_MRCD.otu_table.biom')	0.0
12	('EP007214', 5, 'EP007214_K50_MRCD.otu_table.biom')	0.71
13	('EP007214', 6, 'EP007214_K60_MRCD.otu_table.biom')	0.62
14	('EP007214', 8, 'EP007214_K80_BRCD.otu_table.biom')	1.0
15	('EP010982', 10, 'EP010982_K100_BRCD.otu_table.biom')	0.0
16	('EP010982', 1, 'EP010982_K10_MRCD.otu_table.biom')	0.0
17	('EP010982', 2, 'EP010982_K20_MRCD.otu_table.biom')	1.0
18	('EP010982', 3, 'EP010982_K30_MRCD.otu_table.biom')	1.0
19	('EP010982', 4, 'EP010982_K40_MRCD.otu_table.biom')	0.84
20	('EP010982', 5, 'EP010982_K50_MRCD.otu_table.biom')	0.0
21	('EP010982', 7, 'EP010982_K70_BRCD.otu_table.biom')	0.0
22	('EP013002', 1, 'EP013002_K10_MRCD.otu_table.biom')	0.0
23	('EP013002', 11, 'EP013002_K110_MRCD.otu_table.biom')	0.0
24	('EP013002', 2, 'EP013002_K20_MRCD.otu_table.biom')	0.34
25	('EP013002', 3, 'EP013002_K30_MRCD.otu_table.biom')	0.0
26	('EP013002', 4, 'EP013002_K40_MRCD.otu_table.biom')	0.0
27	('EP013002', 5, 'EP013002_K50_MRCD.otu_table.biom')	0.0
28	('EP013002', 6, 'EP013002_K60_BRCD.otu_table.biom')	0.0
29	('EP013002', 7, 'EP013002_K70_BRCD.otu_table.biom')	0.0
30	('EP013417', 1, 'EP013417_K10_MRCD.otu_table.biom')	0.0
