	sample	lambda
0	('feces', 3001, 4, 'CSM5FZ3N')	0.22792968749999976
1	('feces', 3002, 5, 'CSM5FZ3X')	0.29531249999999987
2	('feces', 3002, 6, 'CSM5FZ3Z')	0.41689453125
3	('feces', 3002, 8, 'CSM5FZ44')	0.20039062499999974
4	('feces', 3002, 9, 'CSM5FZ46')	0.2730468749999998
5	('feces', 3003, 4, 'CSM5FZ48')	0.09326171874999964
6	('feces', 3003, 5, 'CSM5FZ4E')	0.24365234374999978
7	('feces', 3003, 6, 'CSM5FZ4G')	1.0
8	('feces', 3003, 7, 'CSM5FZ4I')	0.939746093750001
9	('feces', 3005, 4, 'CSM5FZ4O')	0.56064453125
10	('feces', 3008, 4, 'CSM5MCU4')	0.41005859375
11	('feces', 3004, 5, 'CSM5MCU6')	0.09326171874999964
12	('feces', 3006, 6, 'CSM5MCUI')	0.5579101562500001
13	('feces', 3007, 5, 'CSM5MCV1')	0.2483398437499998
14	('feces', 3007, 6, 'CSM5MCV3')	0.2588867187499998
15	('feces', 3007, 7, 'CSM5MCV5')	0.20156249999999973
16	('feces', 3007, 4, 'CSM5MCVB')	0.1485351562499997
17	('feces', 3001, 11, 'CSM5MCVD')	0.11630859374999966
18	('feces', 3001, 12, 'CSM5MCVF')	0.1484374999999997
19	('feces', 3009, 4, 'CSM5MCVH')	1.0
20	('feces', 3001, 13, 'CSM5MCVV')	0.2832031249999998
21	('feces', 3008, 6, 'CSM5MCVZ')	0.23154296874999977
22	('feces', 3009, 5, 'CSM5MCW8')	1.0
23	('feces', 3001, 6, 'CSM5YRY7')	0.39570312499999993
24	('feces', 5004, 8, 'ESM5GEZ8')	0.5046875
25	('feces', 5004, 9, 'ESM5GEZA')	0.39726562499999996
26	('feces', 5001, 12, 'ESM5ME9G')	0.20087890624999974
27	('feces', 5008, 6, 'ESM5MEA7')	0.5443359375000001
28	('feces', 5001, 13, 'ESM5MEBA')	0.12705078124999966
29	('feces', 5008, 4, 'ESM5MEBL')	0.5773437500000003
30	('feces', 5004, 11, 'ESM5MEBQ')	0.22802734374999975
31	('feces', 5001, 4, 'ESM5MEDZ')	0.4311523437499999
32	('feces', 5001, 5, 'ESM5MEE2')	0.2810546874999998
33	('feces', 5001, 7, 'ESM5MEE6')	0.523828125
34	('feces', 5001, 8, 'ESM5MEEA')	0.5447265625000002
35	('feces', 5001, 9, 'ESM5MEEB')	0.23652343749999977
36	('feces', 5003, 4, 'ESM5MEEC')	1.0
37	('feces', 5004, 4, 'ESM5MEEG')	0.42792968749999993
38	('feces', 5002, 4, 'ESM5MEET')	1.0
39	('feces', 4001, 9, 'HSM5FZBP')	0.46933593749999997
40	('feces', 4001, 7, 'HSM5FZBQ')	0.504296875
41	('feces', 4001, 8, 'HSM5FZBR')	0.49345703125000007
42	('feces', 4001, 6, 'HSM5FZBT')	0.6472656250000003
43	('feces', 4001, 5, 'HSM5FZBU')	0.8994140625000009
44	('feces', 4014, 4, 'HSM5MD3L')	0.8472656250000009
45	('feces', 4011, 5, 'HSM5MD3W')	0.39667968749999993
46	('feces', 4010, 5, 'HSM5MD47')	1.0
47	('feces', 4006, 7, 'HSM5MD4A')	0.06582031249999962
48	('feces', 4006, 6, 'HSM5MD4B')	1.0
49	('feces', 4006, 5, 'HSM5MD4C')	1.0
50	('feces', 4007, 7, 'HSM5MD4P')	0.22167968749999978
51	('feces', 4007, 5, 'HSM5MD4R')	0.4253906249999999
52	('feces', 4001, 12, 'HSM5MD5H')	0.6891601562500005
53	('feces', 4001, 11, 'HSM5MD7W')	0.494140625
54	('feces', 4007, 4, 'HSM5MD7Z')	0.3990234374999999
55	('feces', 4006, 4, 'HSM5MD86')	1.0
56	('feces', 4010, 4, 'HSM5MD87')	1.0
57	('feces', 4011, 4, 'HSM5MD8J')	0.21416015624999973
58	('feces', 2014, 4, 'MSM5FZ8Y')	1.0
59	('feces', 2010, 7, 'MSM5FZ9N')	0.5140625
60	('feces', 2010, 8, 'MSM5FZ9Q')	0.6304687500000004
61	('feces', 2010, 9, 'MSM5FZ9S')	1.0
62	('feces', 2010, 11, 'MSM5FZ9T')	0.08017578124999963
63	('feces', 2014, 5, 'MSM5FZ9V')	1.0
64	('feces', 2014, 7, 'MSM5FZ9Z')	0.5712890625000002
65	('feces', 2014, 8, 'MSM5FZA2')	1.0
66	('feces', 2008, 20, 'MSM5LLD8')	1.0
67	('feces', 2010, 13, 'MSM5LLE5')	0.5599609374999999
68	('feces', 2010, 15, 'MSM5LLE9')	0.45869140624999993
69	('feces', 2021, 13, 'MSM5LLEN')	0.3522460937499998
70	('feces', 2034, 5, 'MSM5LLEX')	1.0
71	('feces', 2026, 5, 'MSM5LLFK')	0.51064453125
72	('feces', 2026, 7, 'MSM5LLFO')	0.9176757812500009
73	('feces', 2026, 9, 'MSM5LLFS')	0.47314453125
74	('feces', 2026, 11, 'MSM5LLFU')	0.2819335937499998
75	('feces', 2014, 15, 'MSM5LLGD')	1.0
76	('feces', 2014, 13, 'MSM5LLGH')	1.0
77	('feces', 2014, 16, 'MSM5LLGJ')	0.5552734374999999
78	('feces', 2028, 8, 'MSM5LLGT')	1.0
79	('feces', 2028, 9, 'MSM5LLGV')	1.0
80	('feces', 2028, 11, 'MSM5LLGX')	0.41679687499999996
81	('feces', 2027, 7, 'MSM5LLH6')	0.48173828124999996
82	('feces', 2025, 5, 'MSM5LLHE')	0.09111328124999962
83	('feces', 2025, 6, 'MSM5LLHG')	0.1589843749999997
84	('feces', 2025, 7, 'MSM5LLHI')	0.4884765625
85	('feces', 2025, 9, 'MSM5LLHK')	0.8296875000000008
86	('feces', 2025, 8, 'MSM5LLHM')	0.9258789062500009
87	('feces', 2025, 11, 'MSM5LLHO')	0.13984374999999966
88	('feces', 2008, 13, 'MSM5LLHZ')	0.32304687499999984
89	('feces', 2025, 4, 'MSM5LLIC')	0.8624023437500009
90	('feces', 2021, 5, 'MSM5LLIE')	0.51611328125
91	('feces', 2021, 8, 'MSM5LLIK')	0.30205078124999984
92	('feces', 2021, 9, 'MSM5LLIM')	0.23232421874999976
93	('feces', 2021, 11, 'MSM5LLIO')	0.3979492187499999
94	('feces', 2026, 4, 'MSM5LLIQ')	0.3613281249999999
95	('feces', 2027, 4, 'MSM5LLIS')	0.8409179687500008
96	('feces', 2014, 9, 'MSM5ZOJY')	1.0
97	('feces', 2014, 11, 'MSM633FF')	0.860644531250001
